2026/06/11 13:55:44 [warn] 206#206: *784 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/01/0000000016 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.f6ecb617..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.f6ecb617..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 13:55:44 [warn] 206#206: *784 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/01/0000000017 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.e9235c2d..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.e9235c2d..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 13:55:44 [warn] 206#206: *784 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/01/0000000018 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.c501c39d..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.c501c39d..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 13:55:44 [warn] 206#206: *784 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/01/0000000019 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.1e4e5b08..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.1e4e5b08..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 14:02:21 [warn] 206#206: *845 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/02/0000000020 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/Treemap2.0568794f..jpg HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/Treemap2.0568794f..jpg", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 14:02:21 [warn] 206#206: *845 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/02/0000000021 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/Treemap4.6e60b127..jpg HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/Treemap4.6e60b127..jpg", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 14:02:22 [warn] 206#206: *845 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/02/0000000022 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/treemap_v2_1.f997bb13..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/treemap_v2_1.f997bb13..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 15:59:06 [warn] 206#206: *1287 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/02/0000000023 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/example1.a58bab57..jpg HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/example1.a58bab57..jpg", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 15:59:06 [warn] 206#206: *1287 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/02/0000000024 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/example4.94717fd8..jpg HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/example4.94717fd8..jpg", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 16:48:49 [warn] 207#207: *1619 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/02/0000000025 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "POST /superset/explore_json/?results=true HTTP/2.0", upstream: "http://172.20.0.29:8088/superset/explore_json/?results=true", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=i_X9EaoeG-t3EeXV-7Lc51NStA-WHwGt0_yUV8gfNFPON1XxlboqNIMTsBq9XFMV&dataset_id=30"
2026/06/11 17:15:53 [warn] 207#207: *1727 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/02/0000000026 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/appbuilder/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/2.0", upstream: "http://172.20.0.29:8088/static/appbuilder/fonts/fontawesome-webfont.woff?v=4.7.0", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/dashboard/11/?native_filters_key=bVy8S_dMCSfhcFw6H6aWFp9_EDdDIRhmmw59o9fnJS48FM7m7xa6rBNU7Ff5oOoR"
2026/06/11 17:15:53 [warn] 207#207: *1727 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/02/0000000027 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/040e4b9b46ba00910c8b.woff HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/040e4b9b46ba00910c8b.woff", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/dashboard/11/?native_filters_key=bVy8S_dMCSfhcFw6H6aWFp9_EDdDIRhmmw59o9fnJS48FM7m7xa6rBNU7Ff5oOoR"
2026/06/11 17:15:53 [warn] 207#207: *1727 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/02/0000000028 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/82c6b79084c6bd37a016.woff HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/82c6b79084c6bd37a016.woff", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/dashboard/11/?native_filters_key=bVy8S_dMCSfhcFw6H6aWFp9_EDdDIRhmmw59o9fnJS48FM7m7xa6rBNU7Ff5oOoR"
2026/06/11 17:15:53 [warn] 207#207: *1727 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/02/0000000029 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/127f77a7657a6b47cf38.woff HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/127f77a7657a6b47cf38.woff", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/dashboard/11/?native_filters_key=bVy8S_dMCSfhcFw6H6aWFp9_EDdDIRhmmw59o9fnJS48FM7m7xa6rBNU7Ff5oOoR"
2026/06/11 17:15:53 [warn] 207#207: *1727 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/03/0000000030 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/f557d69b5a0f8a15a263.woff HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/f557d69b5a0f8a15a263.woff", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/dashboard/11/?native_filters_key=bVy8S_dMCSfhcFw6H6aWFp9_EDdDIRhmmw59o9fnJS48FM7m7xa6rBNU7Ff5oOoR"
2026/06/11 17:15:53 [warn] 207#207: *1727 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/03/0000000031 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/3c19203040e176cb479a.woff HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/3c19203040e176cb479a.woff", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/dashboard/11/?native_filters_key=bVy8S_dMCSfhcFw6H6aWFp9_EDdDIRhmmw59o9fnJS48FM7m7xa6rBNU7Ff5oOoR"
2026/06/11 17:15:53 [warn] 207#207: *1727 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/03/0000000032 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/12722669be9d89414c5c.woff HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/12722669be9d89414c5c.woff", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/dashboard/11/?native_filters_key=bVy8S_dMCSfhcFw6H6aWFp9_EDdDIRhmmw59o9fnJS48FM7m7xa6rBNU7Ff5oOoR"
2026/06/11 17:15:53 [warn] 207#207: *1727 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/03/0000000033 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/863e0eb8bc1268ccc3c3.woff HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/863e0eb8bc1268ccc3c3.woff", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/dashboard/11/?native_filters_key=bVy8S_dMCSfhcFw6H6aWFp9_EDdDIRhmmw59o9fnJS48FM7m7xa6rBNU7Ff5oOoR"
